epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,13897,1.47996,2.64514,0.02236,0.72388,0.615,0.68853,0.38608,1.69303,2.91645,0.03575,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,14075.7,1.46925,2.54926,0.02169,0.77375,0.6269,0.68993,0.38635,1.68442,2.82411,0.03559,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,14263.3,1.46479,2.57541,0.02176,0.83379,0.59967,0.66621,0.37782,1.69019,3.04443,0.03584,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,14441.2,1.45373,2.5817,0.02189,0.7986,0.64957,0.70819,0.39779,1.76426,2.77105,0.03781,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,14619.2,1.48271,2.53026,0.02208,0.82866,0.61631,0.7158,0.39953,1.67586,2.92433,0.0358,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,14796.2,1.44715,2.5177,0.02184,0.84725,0.60563,0.68345,0.39321,1.65814,2.98362,0.03493,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,14978.7,1.42667,2.43825,0.02138,0.75595,0.64568,0.7087,0.39439,1.69402,2.881,0.03637,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,15158.1,1.42631,2.50038,0.02105,0.82907,0.63778,0.70322,0.40159,1.68851,2.77183,0.03585,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,15337.4,1.41059,2.44242,0.02119,0.82189,0.59936,0.69383,0.39412,1.7557,2.6854,0.0374,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,15516.5,1.41138,2.40995,0.02075,0.85538,0.62449,0.69556,0.40445,1.70224,2.72822,0.03629,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,15694.1,1.43348,2.45522,0.02133,0.86312,0.57364,0.69646,0.40641,1.68116,2.79337,0.03542,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,15871.1,1.42354,2.422,0.02095,0.81996,0.61962,0.67872,0.37946,1.66729,3.06225,0.03544,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,16051.2,1.39453,2.42187,0.0208,0.72923,0.665,0.69881,0.38566,1.67816,2.86151,0.03511,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
