hash,split,image_id,filename,duplicate_count
789da3fb380351c880f39ac8f0598f63,all,4954,img_004954.jpg,2
789da3fb380351c880f39ac8f0598f63,all,5251,img_005251.jpg,2
21ed3dfdb4f0d83067dce8e8708493e0,all,4955,img_004955.jpg,2
21ed3dfdb4f0d83067dce8e8708493e0,all,5252,img_005252.jpg,2
9f34ef202d606de9374db60a84205178,all,4956,img_004956.jpg,2
9f34ef202d606de9374db60a84205178,all,5253,img_005253.jpg,2
30e0ca420d380ab86112fdc146a829ed,all,4957,img_004957.jpg,2
30e0ca420d380ab86112fdc146a829ed,all,5254,img_005254.jpg,2
0c5febf8eeaca02ed526371331d19e4d,all,4958,img_004958.jpg,2
0c5febf8eeaca02ed526371331d19e4d,all,5255,img_005255.jpg,2
3bd249a5a7690cd0e15cf3d28a2b0702,all,4959,img_004959.jpg,2
3bd249a5a7690cd0e15cf3d28a2b0702,all,5256,img_005256.jpg,2
cae277207bb03d8253d3b3f3c37711d7,all,4960,img_004960.jpg,2
cae277207bb03d8253d3b3f3c37711d7,all,5257,img_005257.jpg,2
f199e487a8dd95809fabe5180a70b3ad,all,4961,img_004961.jpg,2
f199e487a8dd95809fabe5180a70b3ad,all,5258,img_005258.jpg,2
409adc1fdf22da7a8687e6143eeb1868,all,4962,img_004962.jpg,2
409adc1fdf22da7a8687e6143eeb1868,all,5259,img_005259.jpg,2
aaff97cc7243db73e9b248ad5e0a286c,all,4963,img_004963.jpg,2
aaff97cc7243db73e9b248ad5e0a286c,all,5260,img_005260.jpg,2
648f63dbfcef82dc6b2113828718bcb8,all,4964,img_004964.jpg,2
648f63dbfcef82dc6b2113828718bcb8,all,5261,img_005261.jpg,2
8f16a4bc15d1878d44df1170a7375f09,all,4965,img_004965.jpg,2
8f16a4bc15d1878d44df1170a7375f09,all,5262,img_005262.jpg,2
9a87281c43b780dd7e508bbe93ade4de,all,4966,img_004966.jpg,2
9a87281c43b780dd7e508bbe93ade4de,all,5263,img_005263.jpg,2
8a36dc11b9639bf6afcd9910013ed2a9,all,4967,img_004967.jpg,2
8a36dc11b9639bf6afcd9910013ed2a9,all,5264,img_005264.jpg,2
c828540b0bcbfe9faa914ac4080ad778,all,4968,img_004968.jpg,2
c828540b0bcbfe9faa914ac4080ad778,all,5265,img_005265.jpg,2
bd0c9ba95c45ca44649a14c8366c2847,all,4969,img_004969.jpg,2
bd0c9ba95c45ca44649a14c8366c2847,all,5266,img_005266.jpg,2
0a2437489639d6e62ceee48283ac745a,all,4970,img_004970.jpg,2
0a2437489639d6e62ceee48283ac745a,all,5267,img_005267.jpg,2
f22a257a01227d9347708da2c3d7ac39,all,4971,img_004971.jpg,2
f22a257a01227d9347708da2c3d7ac39,all,5268,img_005268.jpg,2
13c1b852e8d7500225ff190feab65828,all,4972,img_004972.jpg,2
13c1b852e8d7500225ff190feab65828,all,5269,img_005269.jpg,2
99ebbb99bba8f1871129682b66db07f0,all,4973,img_004973.jpg,2
99ebbb99bba8f1871129682b66db07f0,all,5270,img_005270.jpg,2
6349eaa7cab91334157d92491e6d758a,all,4974,img_004974.jpg,2
6349eaa7cab91334157d92491e6d758a,all,5271,img_005271.jpg,2
cf9a400ee0fd4a67b71380652d169cb6,all,4975,img_004975.jpg,2
cf9a400ee0fd4a67b71380652d169cb6,all,5272,img_005272.jpg,2
e7f81ee9fc2fc4d6ba6aebb2b2b6d8c5,all,4976,img_004976.jpg,2
e7f81ee9fc2fc4d6ba6aebb2b2b6d8c5,all,5273,img_005273.jpg,2
9e91cd7d83c2ab345b70320cb4d94e33,all,4977,img_004977.jpg,2
9e91cd7d83c2ab345b70320cb4d94e33,all,5274,img_005274.jpg,2
c31c5750925e8e6a81aa73551f10d7c8,all,4978,img_004978.jpg,2
c31c5750925e8e6a81aa73551f10d7c8,all,5275,img_005275.jpg,2
b2bb6d2cc2509fb955a5cfd1275b600f,all,4979,img_004979.jpg,2
b2bb6d2cc2509fb955a5cfd1275b600f,all,5276,img_005276.jpg,2
8f1608ba20a0c5c23e354f51e65df423,all,4980,img_004980.jpg,2
8f1608ba20a0c5c23e354f51e65df423,all,5277,img_005277.jpg,2
2bf4f1e1fe31a85baa17496420646c5e,all,4981,img_004981.jpg,2
2bf4f1e1fe31a85baa17496420646c5e,all,5278,img_005278.jpg,2
19931b996a1c550974546dc2a6f36f6c,all,4982,img_004982.jpg,2
19931b996a1c550974546dc2a6f36f6c,all,5279,img_005279.jpg,2
5871f196e0c3f6f67fd2d2b92bda1a7c,all,4983,img_004983.jpg,2
5871f196e0c3f6f67fd2d2b92bda1a7c,all,5280,img_005280.jpg,2
f7e1ec9b56ca816b24f557c774358e03,all,4984,img_004984.jpg,2
f7e1ec9b56ca816b24f557c774358e03,all,5281,img_005281.jpg,2
a1d404b5c9980be3f2471a839ec34fe9,all,4985,img_004985.jpg,2
a1d404b5c9980be3f2471a839ec34fe9,all,5282,img_005282.jpg,2
45d71f2d35a7fc60cf872ea0b0e61da3,all,4986,img_004986.jpg,2
45d71f2d35a7fc60cf872ea0b0e61da3,all,5283,img_005283.jpg,2
66207635a861aa4cfd35db834ed37a1b,all,4987,img_004987.jpg,2
66207635a861aa4cfd35db834ed37a1b,all,5284,img_005284.jpg,2
98c605fd4584cd6516a5dea8392f36f9,all,4988,img_004988.jpg,2
98c605fd4584cd6516a5dea8392f36f9,all,5285,img_005285.jpg,2
6bd335352fb1a5ec1d593392a54243a8,all,4989,img_004989.jpg,2
6bd335352fb1a5ec1d593392a54243a8,all,5286,img_005286.jpg,2
5d8a4e4ef0e321dd718e47b3361da4d6,all,4990,img_004990.jpg,2
5d8a4e4ef0e321dd718e47b3361da4d6,all,5287,img_005287.jpg,2
823b6ac47fe9b4caaafb395ce961e66c,all,4991,img_004991.jpg,2
823b6ac47fe9b4caaafb395ce961e66c,all,5288,img_005288.jpg,2
dedceb089af1c23db5d4bd080aab38a7,all,4992,img_004992.jpg,2
dedceb089af1c23db5d4bd080aab38a7,all,5289,img_005289.jpg,2
f2d986aba95a5c20cd3ad5347794caf8,all,4993,img_004993.jpg,2
f2d986aba95a5c20cd3ad5347794caf8,all,5290,img_005290.jpg,2
6d8b6f7b382f47e0556582e58cc543a9,all,4994,img_004994.jpg,2
6d8b6f7b382f47e0556582e58cc543a9,all,5291,img_005291.jpg,2
bea769fd4b48caf2114a0c2a0848f7d3,all,4995,img_004995.jpg,2
bea769fd4b48caf2114a0c2a0848f7d3,all,5292,img_005292.jpg,2
2aa4d08a0de59491cdfdb22f9d117f07,all,4996,img_004996.jpg,2
2aa4d08a0de59491cdfdb22f9d117f07,all,5293,img_005293.jpg,2
e6c9974440599df1fced7e3e11133866,all,4997,img_004997.jpg,2
e6c9974440599df1fced7e3e11133866,all,5294,img_005294.jpg,2
1f641f69f0b1f458ae5d9681ec84ca80,all,4998,img_004998.jpg,2
1f641f69f0b1f458ae5d9681ec84ca80,all,5295,img_005295.jpg,2
da7049d6d4c7e14f70c1cda645379a5e,all,4999,img_004999.jpg,2
da7049d6d4c7e14f70c1cda645379a5e,all,5296,img_005296.jpg,2
746250cd769cfbfd09a1afd7d03a42ad,all,5000,img_005000.jpg,2
746250cd769cfbfd09a1afd7d03a42ad,all,5297,img_005297.jpg,2
26bae7692d16e941048ce3670349570c,all,5001,img_005001.jpg,2
26bae7692d16e941048ce3670349570c,all,5298,img_005298.jpg,2
c749f461107da3aa04cd4588b5fdf0b9,all,5002,img_005002.jpg,2
c749f461107da3aa04cd4588b5fdf0b9,all,5299,img_005299.jpg,2
7f2f4e5d2af20377369371c2e4dc9fe2,all,5003,img_005003.jpg,2
7f2f4e5d2af20377369371c2e4dc9fe2,all,5300,img_005300.jpg,2
075af3b5114b016b39beb77cdf077dfe,all,5004,img_005004.jpg,2
075af3b5114b016b39beb77cdf077dfe,all,5301,img_005301.jpg,2
7660eb4cc52f3675f63bd6aa3543e145,all,5005,img_005005.jpg,2
7660eb4cc52f3675f63bd6aa3543e145,all,5302,img_005302.jpg,2
7376ec89c1e22ee9a69d0fc4029be1c0,all,5006,img_005006.jpg,2
7376ec89c1e22ee9a69d0fc4029be1c0,all,5303,img_005303.jpg,2
505ab56f0caea70d972a9200d6cc0d65,all,5007,img_005007.jpg,2
505ab56f0caea70d972a9200d6cc0d65,all,5304,img_005304.jpg,2
f6013606020f85ec9bd0948e856e3e59,all,5008,img_005008.jpg,2
f6013606020f85ec9bd0948e856e3e59,all,5305,img_005305.jpg,2
0134a9c26b3c6c9e44fa16fd1caa7f19,all,5009,img_005009.jpg,2
0134a9c26b3c6c9e44fa16fd1caa7f19,all,5306,img_005306.jpg,2
0f919e69f18cdeed85dbe12e1e346e7a,all,5010,img_005010.jpg,2
0f919e69f18cdeed85dbe12e1e346e7a,all,5307,img_005307.jpg,2
c7081f911e94b37fd1694c7ae57c513b,all,5011,img_005011.jpg,2
c7081f911e94b37fd1694c7ae57c513b,all,5308,img_005308.jpg,2
e640315aa85473228f2d9abb2e4bf3bb,all,5012,img_005012.jpg,2
e640315aa85473228f2d9abb2e4bf3bb,all,5309,img_005309.jpg,2
4169698449ccd10d34ef5dcd58a28c66,all,5013,img_005013.jpg,2
4169698449ccd10d34ef5dcd58a28c66,all,5310,img_005310.jpg,2
71f5950889d8a501d40796e7873c910c,all,5014,img_005014.jpg,2
71f5950889d8a501d40796e7873c910c,all,5311,img_005311.jpg,2
0776451cf88d32d61ca8922bb532e1f2,all,5015,img_005015.jpg,2
0776451cf88d32d61ca8922bb532e1f2,all,5312,img_005312.jpg,2
ac9cad36a8d33962ff2e88ef32ed5634,all,5016,img_005016.jpg,2
ac9cad36a8d33962ff2e88ef32ed5634,all,5313,img_005313.jpg,2
c81c208b41c24bc017f576bca55e1f43,all,5017,img_005017.jpg,2
c81c208b41c24bc017f576bca55e1f43,all,5314,img_005314.jpg,2
bd5d4b08dcbff8a701edad1a797faa25,all,5018,img_005018.jpg,2
bd5d4b08dcbff8a701edad1a797faa25,all,5315,img_005315.jpg,2
e70c9d0e922ce62982547c677e1873d7,all,5019,img_005019.jpg,2
e70c9d0e922ce62982547c677e1873d7,all,5316,img_005316.jpg,2
a010a797951a33dd90b63cf005ffe8bf,all,5020,img_005020.jpg,2
a010a797951a33dd90b63cf005ffe8bf,all,5317,img_005317.jpg,2
